Ticker,Sector,LastClose,ATR_2H,EMA15_2H,EMA50_2H,EMA150_2H,EMA150_slope,MACD_diff,RSI_2H,MFI_2H,Timestamp,FibSupport_2H,EMA400_2H,EMA500_2H,EMA600_2H,EMA50_1D,EMA100_1D,reject_reason
A,SALUD,138.7100067138672,2.1197286333356584,133.4493240887814,128.44769522413117,124.91863443513849,0.0077841028625753,1.289843688979062,80.47013581373135,93.85898550960908,2025-10-02 18:00:00+00:00,129.3901005554199,,,,123.63238815539752,121.63702590622452,ema15_not_above_price; rsi_too_high; mfi_too_high
AA,COMMODITIES,34.83000183105469,0.7184709821428571,33.755587972325785,32.909936214588406,32.05811716361298,0.005254545154999,0.174501229109852,63.55572712076458,70.52364917613845,2025-10-02 18:00:00+00:00,32.3958291015625,,,,31.655811752129,31.114986724397884,ema15_not_above_price; rsi_too_high; mfi_too_high
A2A.MI,ENERGIA,2.2279999256134038,0.0160000324249267,2.206970822990986,2.182516240720059,2.163071061339853,0.0015159414955371,-0.0003286704865377,62.44881431376973,66.46896979179489,2025-10-03 06:00:00+00:00,2.174205986022949,,,,2.172325655538297,2.182393599352657,low_atr; ema15_not_above_price; rsi_too_high; mfi_too_high
AAPL,TECNOLOGÍA,257.1400146484375,1.9294978550502235,255.7831154370863,250.67214543994555,239.11182527793645,0.0050990407815261,-0.142163160780842,61.776030545154384,51.36645034479279,2025-10-02 18:00:00+00:00,236.90522528076173,,,,234.99957719749648,226.4129507007377,ema15_not_above_price; rsi_too_high; mfi_too_high
AAP,SALUD,62.13999938964844,0.9187570299421038,61.592755733017455,61.07487585666363,60.30770059426411,0.0020671879076931,0.0824389450103273,57.41467648333693,70.95075745666138,2025-10-02 18:00:00+00:00,63.06288005828857,,,,59.01491117591558,55.11715570637763,ema15_not_above_price; rsi_too_high; mfi_too_high
ABBV,SALUD,236.6100006103516,3.621607099260603,233.99304547367848,225.7771926634869,215.6355977063941,0.0076297025289817,0.733737538735193,62.5651520821088,73.45940999359735,2025-10-02 18:00:00+00:00,222.96341662597652,,,,212.3006695133768,203.99703112544236,ema15_not_above_price; rsi_too_high; mfi_too_high
ABNB,FINANCIERO,121.48999786376952,1.2020007542201452,121.82114655717946,122.92406676128697,125.32759437318497,-0.0022076319498971,-0.0608486842240489,44.710667646220585,49.01218501755192,2025-10-02 18:00:00+00:00,133.341935836792,,,,126.10974073787688,128.0787859401459,ema50_not_below_price; price_below_ema150; too_close_to_ema150
ABEV,SALUD,2.194999933242798,0.0303571224212646,2.2234331943128773,2.2626264179485487,2.26655900527656,-0.0021509393714972,-0.0055071181231785,37.00822300875181,20.15682201750515,2025-10-02 18:00:00+00:00,2.3015800070762635,,,,2.275354089327075,2.2909690941076186,low_atr; ema50_not_below_price; price_below_ema150; too_close_to_ema150
ABT,SALUD,132.99000549316406,1.7224513462611608,132.89164317962795,133.30588001167033,132.59457210913396,0.0001058917992047,0.0379013892256888,49.24404803428507,63.70383541032763,2025-10-02 18:00:00+00:00,132.60231327819824,,,,132.44779734813443,131.43950907177825,ema15_not_above_price; ema50_not_below_price; mfi_too_high
ACAD,SALUD,21.38999938964844,0.299478530883789,21.360355296984896,22.31203573983012,23.436229970137276,-0.0061632776574973,0.1210011902885449,44.5605788375087,44.30000349938631,2025-10-02 18:00:00+00:00,24.117278644561768,,,,23.364858043500877,22.445776693274475,low_atr; ema15_not_above_price; ema50_not_below_price; price_below_ema150; too_close_to_ema150
ACM,COMMODITIES,129.63999938964844,1.117142813546317,129.57545970344822,129.34506249280952,126.02717397082392,0.0016858757440162,-0.1373494448604859,49.80535789441846,59.46128134855682,2025-10-02 18:00:00+00:00,124.25388600158692,,,,124.03912639836769,118.39038061193172,ema15_not_above_price; mfi_too_high
ACLS,TECNOLOGÍA,93.56999969482422,2.993313925606864,94.68880897089024,94.08343252719288,87.79709767604407,0.0050176010002429,-0.3140542707427156,46.15491204166174,75.51889650799711,2025-10-02 18:00:00+00:00,88.68521995544434,,,,85.01756583864275,78.27643490654386,ema50_not_below_price; mfi_too_high
AC,FINANCIERO,31.0,0.5323216574532645,32.43023704170668,33.58542209179275,35.257269284536946,-0.0067350536940311,-0.2081820795891841,33.14253943590694,70.71052338202367,2025-09-04 18:00:00+00:00,35.00860047149658,,,,34.25066331796268,35.08354158634406,ema50_not_below_price; price_below_ema150; too_close_to_ema150; mfi_too_high
ACN,TECNOLOGÍA,244.33999633789065,3.612709045410156,244.25200907980852,242.7156340272132,248.63042612513817,-0.0010447192914991,-0.2502267988013931,52.24215931427712,27.89262355985201,2025-10-02 18:00:00+00:00,263.3869416809082,,,,253.9470700572845,271.3093914357961,ema15_not_above_price; price_below_ema150; too_close_to_ema150; rsi_too_high
ACVA,TECNOLOGÍA,10.104999542236328,0.1850214685712541,9.990836147285258,10.146301018269266,11.173374677690648,-0.0067120781254704,0.0456562780475704,55.21333609284696,76.24534889688886,2025-10-02 18:00:00+00:00,13.057880325317385,,,,11.647097978448484,13.15836197382258,low_atr; ema15_not_above_price; ema50_not_below_price; price_below_ema150; too_close_to_ema150; rsi_too_high; mfi_too_high
ADI,TECNOLOGÍA,241.66000366210935,2.748177664620536,243.4556069412729,245.4647391208396,244.2839360197388,-0.00066236148206,-0.2458563639872257,42.45820124822882,21.604369780968938,2025-10-02 18:00:00+00:00,242.9455048828125,,,,241.68321074770296,234.84453913450983,ema50_not_below_price; price_below_ema150; too_close_to_ema150
