Ticker,Sector,LastClose,ATR_2H,EMA15_2H,EMA50_2H,EMA150_2H,EMA150_slope,MACD_diff,RSI_2H,MFI_2H,Timestamp,FibSupport_2H,EMA400_2H,EMA500_2H,EMA600_2H,EMA50_1D,EMA100_1D
A,SALUD,128.8800048828125,1.3245293753487724,129.07247003662542,131.99286045267206,137.10082794466013,-0.004241760984481471,0.19962367719254015,42.65393366242237,49.56063456149762,2026-02-11 20:00:00+00:00,143.52783860778808,,,,137.69566327225087,137.07772262356252
A2A.MI,ENERGIA,2.618000030517578,0.018571461950029646,2.5706072354692893,2.547063167269489,2.4810256534307644,0.003222637726665,0.008022194811118946,70.33463087303831,81.72146976235034,2026-02-11 16:00:00+00:00,2.4789519991874696,,,,2.443707618368258,2.3860821945933095
AA,COMMODITIES,63.13999938964844,1.315664291381836,61.77348784737173,60.55218237959994,57.493078669288586,0.006229804607960112,0.23435799006246405,60.324519730964965,66.8665847778215,2026-02-11 20:00:00+00:00,57.1516978225708,,,,55.41000486814073,48.83531641785332
AAPL,TECNOLOGÍA,275.5400085449219,2.561468941824777,275.47851375743477,269.6150960857331,266.770343004626,0.002655701386844685,-0.4285787816170683,55.137873704109424,48.14250312280789,2026-02-11 20:00:00+00:00,271.3474102478027,,,,265.83336300721163,260.3274015050578
AAP,SALUD,59.61000061035156,0.9770644051688058,56.7435603557674,52.543768539539386,48.38138272147095,0.014724100601178406,0.2283173895964623,81.97814888274947,87.69918938273342,2026-02-11 20:00:00+00:00,51.464369483947756,,,,48.44393806616474,49.225657391432975
ABBV,SALUD,220.86000061035156,2.331557137625558,221.7785645299879,221.4489432264415,222.72806200590202,-0.0005295270529820603,-0.286587009912207,47.845988271600845,38.22416471002119,2026-02-11 20:00:00+00:00,224.52185748291015,,,,222.78537141841858,220.84113510006438
ABEV,SALUD,3.055000066757202,0.03160996096474784,2.9878879585926486,2.8844374762623666,2.722467639373631,0.00797822087493077,0.006188547659001523,81.72201146833632,73.24253100279006,2026-02-11 20:00:00+00:00,2.7620399537086486,,,,2.664829978652888,2.541842094288952
ABNB,FINANCIERO,119.5,1.3931356157575334,120.60169886390699,124.84566747182517,128.45049235374756,-0.004886713913899478,0.13854237984019502,36.0238562281094,45.92221179905086,2026-02-11 20:00:00+00:00,131.59023669433594,,,,128.60973054192627,128.07540164338099
ABT,SALUD,113.55000305175781,0.9470710754394531,111.71712359049403,111.30040144507976,116.52740078334242,-0.0022421087176894977,0.256807708814476,73.73414383189815,68.35456761297631,2026-02-11 20:00:00+00:00,120.46044248962403,,,,118.35708551119868,122.5383871094165
ACN,TECNOLOGÍA,230.36000061035156,4.046785627092634,236.37871776188211,248.89667215214536,260.93755620722834,-0.007385134160984004,0.24223448826120553,33.707469898752805,57.91549371590507,2026-02-11 20:00:00+00:00,267.3066784362793,,,,261.45533631028644,262.82981053698353
ACM,COMMODITIES,100.9000015258789,2.4624502999441966,101.88319452622457,99.55350057982906,100.46088533662463,0.0013986114782700602,-0.22117872908962255,50.58221546279137,51.82241749276185,2026-02-11 20:00:00+00:00,103.20887860107422,,,,101.94729549349664,107.29579572309129
ACLS,TECNOLOGÍA,91.80000305175781,1.7848363603864397,88.89434482902948,88.16331628487143,88.1301201719012,0.0024710557559384765,0.8353373656462206,62.154737226482425,61.192402215015335,2026-02-11 20:00:00+00:00,92.49295216369629,,,,87.71980552984716,85.42849556364739
ACAD,SALUD,22.454999923706055,0.3139284678867885,22.967711611467223,24.277949143989634,25.383989788032178,-0.007950367609314961,-0.012426593685640142,27.483810469440982,35.78681834437792,2026-02-11 20:00:00+00:00,25.97850942993164,,,,25.32734361686963,24.722763180329657
ACVA,TECNOLOGÍA,7.195000171661377,0.15428570338657924,7.301939236820816,7.606143389350919,7.871177281281556,-0.005443409341330033,0.014479911586986319,40.057617493216355,48.21650866917275,2026-02-11 20:00:00+00:00,8.28307989883423,,,,8.071448935376512,8.86014140389523
ADBE,TECNOLOGÍA,257.1300048828125,3.209545680454799,264.4007427193789,278.2796470477512,302.2691907381177,-0.009734565857256254,-0.25373034975825437,27.08651466380745,20.472827386211506,2026-02-11 20:00:00+00:00,321.8359972839355,,,,309.4036564868152,326.53917947596227
AD.AS,COMMODITIES,38.70000076293945,0.5282143184116909,36.43410483715575,34.914723954023415,34.26524295715014,0.008006530299010925,0.39032265957381096,86.50187058192154,82.60194980981521,2026-02-11 16:00:00+00:00,36.2149814453125,,,,34.377281673029,34.623266656139705
ADM,COMMODITIES,69.30999755859375,0.7575007847377232,68.12976592795698,67.10914867912763,64.47653333776898,0.004956654889108286,0.27000923238960917,68.34190830776333,91.81837426424133,2026-02-11 20:00:00+00:00,65.06186080932618,,,,63.76648052252254,61.64635228932162
ADI,TECNOLOGÍA,336.95001220703125,3.2993600027901784,327.88117294941316,318.73358018988074,300.78140768969035,0.007540856015763269,1.2526650763157763,76.31841108303284,67.0521493050607,2026-02-11 20:00:00+00:00,307.3564359741211,,,,294.22666674676884,275.4673635148629
ADMA,SALUD,16.280000686645508,0.24562161309378489,16.34223062495026,16.7190890076225,17.332675510169842,-0.004461926890283482,0.015359536484445796,44.515782232942435,64.14385939215714,2026-02-11 20:00:00+00:00,18.67520625305176,,,,17.39070268741753,17.38852806040563
ADP,TECNOLOGÍA,217.49000549316406,2.307600838797433,224.6759024937832,236.15904053304843,247.91916522192952,-0.007681709292172905,-0.43308808312024283,15.443318939832508,27.352079171985835,2026-02-11 20:00:00+00:00,248.4337293701172,,,,251.9587856983225,262.69189137782956
