Ticker,Sector,LastClose,ATR_2H,EMA15_2H,EMA50_2H,EMA150_2H,EMA150_slope,MACD_diff,RSI_2H,MFI_2H,Timestamp,FibSupport_2H,EMA400_2H,EMA500_2H,EMA600_2H,EMA50_1D,EMA100_1D,reject_reason
A,SALUD,128.8800048828125,1.3245293753487724,129.07247003662542,131.99286045267206,137.10082794466013,-0.0042417609844814,0.1996236771925401,42.65393366242237,49.56063456149762,2026-02-11 20:00:00+00:00,143.52783860778808,,,,137.69566327225087,137.07772262356252,mfi_too_high_vs_rsi; ema50_below_price_failed; price_above_ema150_failed; distance_ok_failed
A2A.MI,ENERGIA,2.618000030517578,0.0185714619500296,2.5706072354692893,2.547063167269489,2.4810256534307644,0.003222637726665,0.0080221948111189,70.33463087303831,81.72146976235034,2026-02-11 16:00:00+00:00,2.4789519991874696,,,,2.443707618368258,2.386082194593309,mfi_too_high_vs_rsi; low_atr; ema15_above_price_failed; rsi_ok_failed; mfi_ok_failed
AA,COMMODITIES,63.13999938964844,1.315664291381836,61.77348784737173,60.55218237959994,57.493078669288586,0.0062298046079601,0.234357990062464,60.324519730964965,66.8665847778215,2026-02-11 20:00:00+00:00,57.1516978225708,,,,55.41000486814073,48.83531641785332,mfi_too_high_vs_rsi; ema15_above_price_failed; rsi_ok_failed; mfi_ok_failed
AAP,SALUD,59.61000061035156,0.9770644051688058,56.7435603557674,52.543768539539386,48.38138272147095,0.0147241006011784,0.2283173895964623,81.97814888274947,87.69918938273342,2026-02-11 20:00:00+00:00,51.46436948394776,,,,48.44393806616474,49.225657391432975,mfi_too_high_vs_rsi; ema15_above_price_failed; rsi_ok_failed; mfi_ok_failed
ABBV,SALUD,220.8600006103516,2.331557137625558,221.7785645299879,221.4489432264415,222.728062005902,-0.000529527052982,-0.286587009912207,47.845988271600845,38.22416471002119,2026-02-11 20:00:00+00:00,224.52185748291012,,,,222.78537141841855,220.8411351000644,ema50_below_price_failed; price_above_ema150_failed; distance_ok_failed
ABEV,SALUD,3.055000066757202,0.0316099609647478,2.987887958592649,2.8844374762623666,2.722467639373631,0.0079782208749307,0.0061885476590015,81.72201146833632,73.24253100279006,2026-02-11 20:00:00+00:00,2.7620399537086486,,,,2.664829978652888,2.541842094288952,low_atr; ema15_above_price_failed; rsi_ok_failed; mfi_ok_failed
ABNB,FINANCIERO,119.5,1.3931356157575334,120.601698863907,124.84566747182517,128.45049235374756,-0.0048867139138994,0.138542379840195,36.0238562281094,45.92221179905086,2026-02-11 20:00:00+00:00,131.59023669433594,,,,128.60973054192627,128.075401643381,mfi_too_high_vs_rsi; ema50_below_price_failed; price_above_ema150_failed; distance_ok_failed
ABT,SALUD,113.5500030517578,0.9470710754394532,111.71712359049404,111.30040144507976,116.52740078334242,-0.0022421087176894,0.256807708814476,73.73414383189815,68.35456761297631,2026-02-11 20:00:00+00:00,120.46044248962404,,,,118.35708551119868,122.5383871094165,ema15_above_price_failed; price_above_ema150_failed; distance_ok_failed; rsi_ok_failed; mfi_ok_failed
ACN,TECNOLOGÍA,230.3600006103516,4.046785627092634,236.3787177618821,248.89667215214536,260.93755620722834,-0.007385134160984,0.2422344882612055,33.707469898752805,57.91549371590507,2026-02-11 20:00:00+00:00,267.3066784362793,,,,261.45533631028644,262.8298105369836,mfi_too_high_vs_rsi; ema50_below_price_failed; price_above_ema150_failed; distance_ok_failed
ACLS,TECNOLOGÍA,91.8000030517578,1.7848363603864397,88.89434482902948,88.16331628487143,88.1301201719012,0.0024710557559384,0.8353373656462206,62.154737226482425,61.192402215015335,2026-02-11 20:00:00+00:00,92.49295216369627,,,,87.71980552984716,85.42849556364739,ema15_above_price_failed; rsi_ok_failed; mfi_ok_failed
ACAD,SALUD,22.45499992370605,0.3139284678867885,22.967711611467223,24.277949143989638,25.383989788032174,-0.0079503676093149,-0.0124265936856401,27.483810469440986,35.78681834437792,2026-02-11 20:00:00+00:00,25.97850942993164,,,,25.32734361686963,24.722763180329657,mfi_too_high_vs_rsi; low_atr; ema50_below_price_failed; price_above_ema150_failed; distance_ok_failed
ACVA,TECNOLOGÍA,7.195000171661377,0.1542857033865792,7.301939236820816,7.606143389350919,7.871177281281556,-0.00544340934133,0.0144799115869863,40.05761749321636,48.21650866917275,2026-02-11 20:00:00+00:00,8.28307989883423,,,,8.071448935376512,8.86014140389523,mfi_too_high_vs_rsi; low_atr; ema50_below_price_failed; price_above_ema150_failed; distance_ok_failed
ADBE,TECNOLOGÍA,257.1300048828125,3.209545680454799,264.4007427193789,278.2796470477512,302.2691907381177,-0.0097345658572562,-0.2537303497582543,27.08651466380745,20.472827386211502,2026-02-11 20:00:00+00:00,321.8359972839355,,,,309.4036564868152,326.53917947596227,ema50_below_price_failed; price_above_ema150_failed; distance_ok_failed
AD.AS,COMMODITIES,38.70000076293945,0.5282143184116909,36.43410483715575,34.914723954023415,34.26524295715014,0.0080065302990109,0.3903226595738109,86.50187058192154,82.60194980981521,2026-02-11 16:00:00+00:00,36.2149814453125,,,,34.377281673029,34.623266656139705,ema15_above_price_failed; rsi_ok_failed; mfi_ok_failed
ADM,COMMODITIES,69.30999755859375,0.7575007847377232,68.12976592795698,67.10914867912763,64.47653333776898,0.0049566548891082,0.2700092323896091,68.34190830776333,91.81837426424131,2026-02-11 20:00:00+00:00,65.06186080932618,,,,63.76648052252254,61.64635228932162,mfi_too_high_vs_rsi; ema15_above_price_failed; rsi_ok_failed; mfi_ok_failed
