TICKER,PRECIO,ATR 2H,EMA 15,EMA 50,EMA 150,MFI,RSI,ENTRADA 1,ENTRADA 2,STOP,TARGET 1,TARGET 2,MONTO,G/P,G/P POT%,_Score,Sector,_sc_rsi_low,_sc_mfi_rsi_soft,_sc_macd_pos,_sc_ema15_close_gap,_sc_atr_score,_sc_ema150_distance,_sc_ema50_below,_sc_fib_soft,_sc_mfi_score,_sc_mfi_diff
BCC,89.38500213623047,1.1924945286342077,89.30657097935175,86.87125281254035,82.18526162113868,35.037940548748665,54.76305209885976,,,,,,,,,69.20084046268168,COMMODITIES,1.0473895802280482,15.0,0.0,13.895338754305545,0.5322288753255858,10.0,10.0,0.0,13.465853506126201,5.260029746696292
ROCK,54.09999847412109,0.8853067670549665,53.89531897323213,53.00413957810473,52.42396627780654,40.70463310811983,55.12686868844798,,,,,,,,,68.65026698829459,COMMODITIES,0.9746262623104045,15.0,0.0,8.601723750248954,0.2939989735513827,10.0,10.0,11.568158311404185,8.365830202692154,3.8459294880875063
STX,407.0700073242188,10.590866088867188,410.0303965863131,403.5842585608708,357.8036410252325,42.14545102711295,47.01200998877764,,,,,,,,,66.28818967896687,COMMODITIES,2.597598002244472,15.0,0.0,7.055268229045307,7.820843246292992,10.0,10.0,5.447637069341841,7.069094075598347,1.2977490564439185
TREX,44.02999877929688,0.6104997907366071,44.02685314898912,43.16958954655812,40.57861626572362,39.31519454883906,53.27523656976815,,,,,,,,,65.59995486608325,COMMODITIES,1.3449526860463705,15.0,0.0,15.835118420389675,0.08088098135461098,10.0,10.0,0.0,9.616324906044847,3.7226778722477567
CBT,75.94999694824219,1.0996649605887276,75.75153741351944,74.43537659588208,71.38141732936386,49.13282801108601,53.89719337734035,,,,,,,,,62.95658832161437,COMMODITIES,1.2205613245319298,15.0,5.0,10.224872721480704,0.4602377948101215,10.0,10.0,8.999964259767868,0.7804547900225896,1.270497431001157
NWE,68.50499725341797,0.6709562029157367,68.34229505606712,68.09821046067131,67.15131131053428,51.58879464339034,51.76423778505626,,,,,,,,,58.47334478529301,ENERGIA,1.647152442988748,15.0,5.0,8.24022329236716,0.12776606903197127,10.0,10.0,8.411418143127547,0.0,0.04678483777757947
WHD,57.34000015258789,0.8169563838413784,57.29914083284228,56.48799839046422,52.766250460191294,44.795213715925534,51.88721492141684,,,,,,,,,57.83860648120113,ENERGIA,1.6225570157166318,15.0,0.0,14.399549525873718,0.24099196247942017,10.0,10.0,0.0,4.684307655667019,1.8912003214643487
MPLX,55.68999862670898,0.5062070574079242,55.51380240168843,55.45900877134604,54.92938475692949,52.43341519880234,52.870629122051504,,,,,,,,,57.191623447913315,ENERGIA,1.425874175589699,15.0,5.0,4.861713565336702,0.0,10.0,10.0,10.787445327453801,0.0,0.11659037953311137
TTEK,40.45000076293945,0.735698972429548,41.3323060006291,39.83591157915498,37.59760366145415,31.004713815423003,46.14699779052225,,,,,,,,,55.95531629417499,ENERGIA,2.7706004418955503,0.0,0.0,0.0,0.17797530765063446,10.0,10.0,11.873040585149708,17.0957575661193,4.037942393359799
WEC,113.12000274658205,0.8275010245186942,112.64589307937072,111.40019853737316,109.38261752874288,46.136006693358325,57.51353004264941,,,,,,,,,55.324574091427806,ENERGIA,0.49729399147011866,15.0,5.0,0.0,0.24916953016599358,10.0,10.0,8.066510367336559,3.477593975977508,3.0340062264776217
EQT,56.93000030517578,0.6959503718784877,56.24412977389946,55.61219922073195,55.14078313085186,36.43079846410502,58.29056148054073,,,,,,,,,58.530588742293595,ENERGia,0.3418877038918538,15.0,5.0,0.0,0.14714951838006016,10.0,10.0,0.0,12.212281382305486,5.829270137716191
PBH,66.0,0.9458792550223214,65.94365989873876,65.56786219805798,64.25652704718054,39.856348222196736,51.3674438904044,,,,,,,,,73.99775320572618,FINANCIERO,1.7265112219191197,15.0,0.0,14.093960480910232,0.3409740801913642,10.0,10.0,10.637395311160475,9.129286600022938,3.069625511522044
TKO,210.22000122070312,2.8333042689732144,210.87201634756715,207.0301627416684,204.14540961068133,40.70417959898086,52.98520425779596,,,,,,,,,67.49007402985639,FINANCIERO,1.4029591484408088,15.0,0.0,8.635988909440286,1.8047077698673675,10.0,10.0,9.00523993217334,8.366238360917228,3.27493990901736
DG,147.1699981689453,1.543931143624442,147.0738612753647,146.5929934275986,141.2206914357485,37.42370250771407,51.03886872674134,,,,,,,,,66.55381624786953,FINANCIERO,1.7922262546517318,15.0,0.0,14.007436661094918,0.804774597324947,10.0,10.0,0.0,11.318667743057338,3.630710991740606
