Ticker,Sector,LastClose,ATR_2H,EMA15_2H,EMA50_2H,EMA150_2H,EMA150_slope,MACD_diff,RSI_2H,MFI_2H,Timestamp,FibSupport_2H,EMA400_2H,EMA500_2H,EMA600_2H,EMA50_1D,EMA100_1D,reject_reason,Score,_sc_rsi_low,_sc_mfi_rsi_soft,_sc_macd_pos,_sc_ema15_close_gap,_sc_atr_score,_sc_ema150_distance,_sc_ema50_below,_sc_fib_soft,_sc_mfi_score,_sc_mfi_diff
BCC,COMMODITIES,89.38500213623047,1.1924945286342077,89.30657097935175,86.87125281254035,82.18526162113868,0.0057750050885005,-0.426442124930751,54.76305209885976,35.037940548748665,2026-02-11 20:00:00+00:00,84.00911970520019,,,,81.20169477634222,80.19640093935585,; ema15_above_price_failed,69.20084046268168,1.0473895802280482,15.0,0.0,13.895338754305545,0.5322288753255858,10.0,10.0,0.0,13.465853506126201,5.260029746696292
ROCK,COMMODITIES,54.09999847412109,0.8853067670549665,53.89531897323213,53.00413957810473,52.42396627780654,0.0020394574486629,-0.0758323811307053,55.12686868844798,40.70463310811983,2026-02-11 20:00:00+00:00,52.70831959533692,,,,53.039411866137954,55.01422275989137,; ema15_above_price_failed,68.65026698829459,0.9746262623104045,15.0,0.0,8.601723750248954,0.2939989735513827,10.0,10.0,11.568158311404185,8.365830202692154,3.8459294880875063
STX,COMMODITIES,407.0700073242188,10.590866088867188,410.0303965863131,403.5842585608708,357.8036410252325,0.0088562033424879,-1.9072642985552293,47.01200998877764,42.14545102711295,2026-02-11 20:00:00+00:00,379.61784179687504,,,,340.9498704758288,294.08980379589246,,66.28818967896687,2.597598002244472,15.0,0.0,7.055268229045307,7.820843246292992,10.0,10.0,5.447637069341841,7.069094075598347,1.2977490564439185
TREX,COMMODITIES,44.02999877929688,0.6104997907366071,44.02685314898912,43.16958954655812,40.57861626572362,0.0058861546054491,-0.1045246294771962,53.27523656976815,39.31519454883906,2026-02-11 20:00:00+00:00,40.916439453125,,,,40.99947821117736,43.26107242645297,; ema15_above_price_failed,65.59995486608325,1.3449526860463705,15.0,0.0,15.835118420389675,0.08088098135461098,10.0,10.0,0.0,9.616324906044847,3.7226778722477567
CBT,COMMODITIES,75.94999694824219,1.0996649605887276,75.75153741351944,74.43537659588208,71.38141732936386,0.0049541865918399,0.0453910151337992,53.89719337734035,49.13282801108601,2026-02-11 20:00:00+00:00,73.75066047668457,,,,70.96865866590161,70.91842215143367,; ema15_above_price_failed,62.95658832161437,1.2205613245319298,15.0,5.0,10.224872721480704,0.4602377948101215,10.0,10.0,8.999964259767868,0.7804547900225896,1.270497431001157
NWE,ENERGIA,68.50499725341797,0.6709562029157367,68.34229505606712,68.09821046067131,67.15131131053428,0.0014189695808296,0.0503092567241616,51.76423778505626,51.58879464339034,2026-02-11 20:00:00+00:00,67.89985982513427,,,,66.46529865862054,64.21296527637699,; ema15_above_price_failed,58.47334478529301,1.647152442988748,15.0,5.0,8.24022329236716,0.12776606903197127,10.0,10.0,8.411418143127547,0.0,0.04678483777757947
WHD,ENERGIA,57.34000015258789,0.8169563838413784,57.29914083284228,56.48799839046422,52.766250460191294,0.0055022512593647,-0.1691176381495772,51.88721492141684,44.795213715925534,2026-02-11 20:00:00+00:00,52.46408039093018,,,,51.30737810236593,47.91556041974179,; ema15_above_price_failed,57.83860648120113,1.6225570157166318,15.0,0.0,14.399549525873718,0.24099196247942017,10.0,10.0,0.0,4.684307655667019,1.8912003214643487
MPLX,ENERGIA,55.68999862670898,0.5062070574079242,55.51380240168843,55.45900877134604,54.92938475692949,0.0008712477525553,0.0429361645446639,52.870629122051504,52.43341519880234,2026-02-11 20:00:00+00:00,55.03298866271973,,,,54.53842154550258,53.47164192063384,; ema15_above_price_failed,57.191623447913315,1.425874175589699,15.0,5.0,4.861713565336702,0.0,10.0,10.0,10.787445327453801,0.0,0.11659037953311137
TTEK,ENERGIA,40.45000076293945,0.735698972429548,41.3323060006291,39.83591157915498,37.59760366145415,0.0066861146028145,-0.3305456861323792,46.14699779052225,31.004713815423003,2026-02-11 20:00:00+00:00,39.362019622802734,,,,36.89456663760498,35.892085175755106,,55.95531629417499,2.7706004418955503,0.0,0.0,0.0,0.17797530765063446,10.0,10.0,11.873040585149708,17.0957575661193,4.037942393359799
WEC,ENERGIA,113.12000274658205,0.8275010245186942,112.64589307937072,111.40019853737316,109.38261752874288,0.0024000003427614,0.0728035662331652,57.51353004264941,46.136006693358325,2026-02-11 20:00:00+00:00,111.33625675964356,,,,109.24779174478176,109.09215988893703,; ema15_above_price_failed,55.324574091427806,0.49729399147011866,15.0,5.0,0.0,0.24916953016599358,10.0,10.0,8.066510367336559,3.477593975977508,3.0340062264776217
EQT,ENERGia,56.93000030517578,0.6959503718784877,56.24412977389946,55.61219922073195,55.14078313085186,0.0017110205609856,0.0735704521950091,58.29056148054073,36.43079846410502,2026-02-11 20:00:00+00:00,57.27355012512207,,,,55.020976362434375,54.855169844657794,; ema15_above_price_failed,58.530588742293595,0.3418877038918538,15.0,5.0,0.0,0.14714951838006016,10.0,10.0,0.0,12.212281382305486,5.829270137716191
PBH,FINANCIERO,66.0,0.9458792550223214,65.94365989873876,65.56786219805798,64.25652704718054,0.0019867393751429,-0.0059472047312506,51.3674438904044,39.856348222196736,2026-02-11 20:00:00+00:00,64.79599103546143,,,,63.98860149782497,64.50985396015119,; ema15_above_price_failed,73.99775320572618,1.7265112219191197,15.0,0.0,14.093960480910232,0.3409740801913642,10.0,10.0,10.637395311160475,9.129286600022938,3.069625511522044
